ACTOR_OFFICER,军官
ACTOR_FREEDOM_FIGHTER,
ACTOR_PALACE_GUARD,
ACTOR_MILITIA_OFFICER,
ACTOR_BASE_COMMANDER,
ACTOR_GUARD,
ACTOR_PILOT,
ACTOR_SOLDIER,
ACTOR_TANK_CREW,
ACTOR_OPERATOR,
ACTOR_TANK_COMMANDER,
ACTOR_SCOUT,
MISSION_TITLE_MAYDAY_SQUARE,五一广场
MISSION_DESR_MAYDAY_SQUARE,经过数日的抗议，我们已经说够了。腐败和虐待必须停止！五一广场的抗议者已经准备好战斗了！接管自由战士的指挥权，攻占总统府。
MISSION_1_OFFICER_INTRO,"长官！ 我们准备对总统宫殿的发动袭击！ 部队正在等待您的命令。"
MISSION_1_OFFICER_OBJECTIVE,
MISSION_1_OFFICER_TOWER_1,
MISSION_1_OFFICER_TOWER_2,
MISSION_1_SOLDIER_SHOUT,
MISSION_1_OFFICER_ORDER,
MISSION_1_GUARD,
MISSION_1_OFFICER_COMMAND,
MISSION_1_OFFICER_NEARBY,
MISSION_1_OFFICER_DEFEND,
MISSION_1_OFFICER_DEPLOY,
MISSION_TITLE_EASTERN_CITY,
MISSION_DESR_EASTERN_CITY,尽管“五一广场”的事件使政府相对和平地更替了，但仍存在许多紧张局势。我们收到了一份报告，称有一群忠于前总统的激进分子。在他们的行动引发内战之前，找到并捕获他们的行动中心。
MISSION_2_OFFICER_INTRO,
MISSION_2_OFFICER_BARRACKS,
MISSION_2_OFFICER_TIPOFF,
MISSION_2_OFFICER_BARRACKS_CAPTURED_1,
MISSION_2_OFFICER_BARRACKS_CAPTURED_2,
MISSION_2_OFFICER_BARRACKS_CAPTURED_3,
MISSION_2_OFFICER_BARRACKS_TIP_1,
MISSION_2_OFFICER_BARRACKS_TIP_2,
MISSION_2_OFFICER_BARRACKS_TIP_3,
MISSION_2_OFFICER_ALARM,
MISSION_TITLE_RIOTS,
MISSION_DESR_RIOTS,
MISSION_3_OFFICER_INTRO_1,
MISSION_3_OFFICER_INTRO_2,
MISSION_3_OBJECTIVE,
MISSION_3_TANK_1,
MISSION_3_TANK_2,
MISSION_3_TANK_FACTORY,
MISSION_3_OFFICER_FACTORY_CAP_1,
MISSION_3_OFFICER_FACTORY_CAP_2,
MISSION_3_OFFICER_FACTORY_AI,
MISSION_TITLE_BASE_ASSAULT,
MISSION_DESR_BASE_ASSAULT,
MISSION_4_OFFICER_INTRO_1,
MISSION_4_OFFICER_INTRO_2,
MISSION_4_OFFICER_INTRO_3,
MISSION_4_OFFICER_LANDLINE_1,
MISSION_4_OFFICER_LANDLINE_2,
MISSION_4_OFFICER_HELP_1,
MISSION_4_OFFICER_HELP_2,
MISSION_4_RAPID_RESPONSE,
MISSION_4_FORWARD_BARRACK,
MISSION_4_GUARD_WARN,
MISSION_4_COMM_CUT_1,
MISSION_4_COMM_CUT_2,
MISSION_4_COMM_CUT_3,
MISSION_TITLE_PENINSULA,
MISSION_DESR_PENINSULA,
MISSION_5_OFFICER_INTRO_1,
MISSION_5_OFFICER_INTRO_2,
MISSION_5_OFFICER_INTRO_3,
MISSION_5_AIRPORT_NEAR_1,
MISSION_5_AIRPORT_NEAR_2,
MISSION_5_AIRPORT_CAP_1,
MISSION_5_AIRPORT_CAP_2,
MISSION_5_FLANK,
MISSION_5_BLOCK_1,
MISSION_5_BLOCK_2,
MISSION_TITLE_RECAPTURE,
MISSION_DESR_RECAPTURE,
MISSION_6_INTRO_1,
MISSION_6_INTRO_2,
MISSION_6_INTRO_3,
MISSION_6_INTRO_4,
MISSION_6_INTRO_5,
MISSION_6_INTRO_6,
MISSION_6_INTRO_7,
MISSION_6_APP_BASE,
MISSION_6_APP_TOWERS_1,
MISSION_6_APP_TOWERS_2,
MISSION_6_APP_TOWERS_3,
MISSION_6_PATROL_1,
MISSION_6_PATROL_2,
MISSION_6_RED_HQ_1,
MISSION_6_RED_HQ_2,
MISSION_6_RED_HQ_3,
MISSION_TITLE_BASE_DEFENCE,
MISSION_DESR_BASE_DEFENCE,
MISSION_7_INTRO_1,
MISSION_7_INTRO_2,
MISSION_7_INTRO_3,
MISSION_7_INTRO_4,
MISSION_7_LEFT_CLAIMED,
MISSION_7_RIGHT_CLAIMED,
MISSION_7_TRAP,
MISSION_7_BASE_1,
MISSION_7_BASE_2,
MISSION_7_TOWERS_1,
MISSION_7_TOWERS_2,
MISSION_TITLE_AIRPORT_PT_1,
MISSION_DESR_AIRPORT_PT_1,
MISSION_8_INTRO_1,
MISSION_8_INTRO_2,
MISSION_8_INTRO_3,
MISSION_8_FACTORIES,
MISSION_8_APP_AIRPORT,
MISSION_8_CAP_AIRPORT_1,
MISSION_8_CAP_AIRPORT_2,
MISSION_8_BUY_HELI_1,
MISSION_8_BUY_HELI_2,
MISSION_8_BUY_HELI_3,
MISSION_TITLE_AIRPLANE,
MISSION_DESR_AIRPLANE,
MISSION_9_INTRO_1,
MISSION_9_INTRO_2,
MISSION_9_INTRO_3,
MISSION_9_TURN2_1,
MISSION_9_TURN2_2,
MISSION_9_TURN10_1,
MISSION_9_TURN10_2,
MISSION_9_TURN15_1,
MISSION_9_TURN15_2,
MISSION_9_TURN18_1,
MISSION_9_TURN20_1,
MISSION_9_APP_HQ,
MISSION_TITLE_FIELD_COMMAND,
MISSION_DESR_FIELD_COMMAND,
MISSION_10_INTRO_1,
MISSION_10_INTRO_2,
MISSION_10_INTRO_3,
MISSION_10_INTRO_4,
MISSION_10_INTRO_5,
MISSION_10_INTRO_6,
MISSION_10_INTRO_7,
MISSION_10_TOWER_1,
MISSION_10_TOWER_2,
MISSION_10_HQ_1,
MISSION_10_HQ_2,
MISSION_TITLE_AIRPORT_PT_2,
MISSION_DESR_AIRPORT_PT_2,
MISSION_11_INTRO_1,
MISSION_11_INTRO_2,
MISSION_11_RECON_1,
MISSION_11_RECON_2,
MISSION_11_CAP_TOWER,
MISSION_11_TANK,
MISSION_TITLE_CONVOY,
MISSION_DESR_CONVOY,
MISSION_12_INTRO_1,
MISSION_12_INTRO_2,
MISSION_12_INTRO_3,
MISSION_12_CROSSROAD_1,
MISSION_12_CROSSROAD_2,
MISSION_12_TOWERS_1,
MISSION_12_TOWERS_2,
MISSION_TITLE_CRASH_SITE,
MISSION_DESR_CRASH_SITE,
MISSION_13_INTRO_1,
MISSION_13_INTRO_2,
MISSION_13_INTRO_3,
MISSION_13_INTRO_4,
MISSION_13_TURN3_1,
MISSION_13_TURN3_2,
MISSION_13_TURN3_3,
MISSION_13_HALF_WAY,
MISSION_TITLE_AIRPORT_PT_3,
MISSION_DESR_AIRPORT_PT_3,
MISSION_14_INTRO_1,
MISSION_14_INTRO_2,
MISSION_14_INTRO_3,
MISSION_14_TURN2_1,
MISSION_14_TURN2_2,
MISSION_14_TURN2_3,
MISSION_14_TURN3_1,
MISSION_14_TURN3_2,
MISSION_14_TURN4_1,
MISSION_14_TURN4_2,
MISSION_14_TURN4_3,
MISSION_14_TRAP_1,
MISSION_14_TRAP_2,
